00b4 .currentBlockNumberLow
00b5 .currentBlockNumberHigh
00bc .fsTempStorage
00bd .fsCharacterJustReadOrCharToWrite
00be .tapeChecksumLow
00bf .tapeChecksumHigh
00c0 .fsGotACharacterToReadOrWriteFlag
00c2 .fsReadProgressState
00cb .tapeCRCBitCounter
00cc .tapeFileLengthLow
00cd .tapeFileLengthHigh
00ce .unusedCE
00cf .unusedCF
00d0 .vduStatusByte
00d1 .vduCurrentPlotByteMask
00d2 .vduTextColourByteOR
00d3 .vduTextColourByteEOR
00d4 .vduGraphicsColourByteOR
00d5 .vduGraphicsColourByteEOR
00d6 .vduScreenAddressOfGraphicsCursorCellLow
00d7 .vduScreenAddressOfGraphicsCursorCellHigh
00d8 .vduWriteCursorScreenAddressLow
00d9 .vduWriteCursorScreenAddressHigh
00da .vduTempStoreDA
00db .vduTempStoreDB
00dc .vduTempStoreDC
00dd .vduTempStoreDD
00de .vduTempStoreDE
00df .vduTempStoreDF
00e0 .vduMultiplicationTableLow
00e1 .vduMultiplicationTableHigh
00e2 .fsStatusByte
00e3 .tapeOptionsByte
00e4 .stringInputOptions
00e4 .starCommandYParameter
00e5 .stringInputPlingFlag
00e5 .starCommandXParameter
00e6 .readCharacterTimedFlag
00e6 .tempWorkspaceE6
00e6 .currentStringPointer
00e7 .autorepeatCountdownTimer
00e8 .osword0BufferAddressLow
00e9 .osword0BufferAddressHigh
00ea .rs423TimeoutCounter
00eb .tapeCritical
00ec .keyPressedInternalTable
00ec .lastKeyPressedInternal
00ed .firstKeyPressedInternal
00ee .keyToIgnoreWhenScanningWithOSBYTE121or122
00ef .osbyteA
00ef .oswordA
00f0 .osbyteX
00f0 .oswordX
00f0 .stackPointerLastBRK
00f1 .osbyteY
00f1 .oswordY
00f2 .stringInputBufferAddressLow
00f3 .stringInputBufferAddressHigh
00f4 .currentlySelectedROM
00f5 .currentSpeechPHROMOrROMNumber
00f6 .romAddressLow
00f7 .romAddressHigh
00f8 .unusedF8
00f9 .unusedF9
00fa .tempStoreFA
00fb .tempStoreFB
00fc .interruptAccumulator
00fd .languageVersionString
00fd .displayStringAddressLow
00fd .brkAddressLow
